year,award_type,win_type,contributor_name,movie_name
1995,writing,nominee,Mike Figgis,Leaving Las Vegas
1995,writing,nominee,"Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, Massimo Troisi",The Postman (Il Postino)
1995,writing,winner,Emma Thompson,Sense and Sensibility
1995,writing,nominee,Randall Wallace,Braveheart
1995,writing,nominee,Woody Allen,Mighty Aphrodite
1995,writing,nominee,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone",Nixon
1995,writing,nominee," Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow,   John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft",Toy Story
1995,writing,winner,Christopher McQuarrie,The Usual Suspects
1996,writing,nominee,Arthur Miller,The Crucible
1996,writing,nominee,Anthony Minghella,The English Patient
1996,writing,nominee,Kenneth Branagh,Hamlet
1996,writing,winner,Billy Bob Thornton,Sling Blade
1996,writing,nominee,John Hodge,Trainspotting
1996,writing,winner,"Ethan Coen, Joel Coen",Fargo
1996,writing,nominee,Cameron Crowe,Jerry Maguire
1996,writing,nominee,John Sayles,Lone Star
1996,writing,nominee,Mike Leigh,Secrets & Lies
1996,writing,nominee," Jan Sardi,   Scott Hicks",Shine
1997,writing,nominee,Paul Attanasio,Donnie Brasco
1997,writing,winner,"Brian Helgeland, Curtis Hanson",L.A. Confidential
1997,writing,nominee,Atom Egoyan,The Sweet Hereafter
1997,writing,nominee,"Hilary Henkin, David Mamet",Wag the Dog
1997,writing,nominee,Hossein Amini,The Wings of the Dove
1997,writing,nominee," Mark Andrus, James L. Brooks,   Mark Andrus",As Good as It Gets
1997,writing,nominee,Paul Thomas Anderson,Boogie Nights
1997,writing,nominee,Woody Allen,Deconstructing Harry
1997,writing,nominee,Simon Beaufoy,The Full Monty
1997,writing,winner,"Ben Affleck, Matt Damon",Good Will Hunting
1998,writing,winner,Bill Condon,Gods and Monsters
1998,writing,nominee,Scott Frank,Out of Sight
1998,writing,nominee,Elaine May,Primary Colors
1998,writing,nominee,Scott B. Smith,A Simple Plan
1998,writing,nominee,Terrence Malick,The Thin Red Line
1998,writing,nominee," Warren Beatty, Jeremy Pikser,   Warren Beatty",Bulworth
1998,writing,nominee,"Vincenzo Cerami, Roberto Benigni",Life Is Beautiful
1998,writing,nominee,Robert Rodat,Saving Private Ryan
1998,writing,winner,"Marc Norman, Tom Stoppard",Shakespeare in Love
1998,writing,nominee,Andrew Niccol,The Truman Show
1999,writing,winner,John Irving,The Cider House Rules
1999,writing,nominee,"Alexander Payne, Jim Taylor",Election
1999,writing,nominee,Frank Darabont,The Green Mile
1999,writing,nominee,"Eric Roth, Michael Mann",The Insider
1999,writing,nominee,Anthony Minghella,The Talented Mr. Ripley
1999,writing,winner,Alan Ball,American Beauty
1999,writing,nominee,Charlie Kaufman,Being John Malkovich
1999,writing,nominee,Paul Thomas Anderson,Magnolia
1999,writing,nominee,M. Night Shyamalan,The Sixth Sense
1999,writing,nominee,Mike Leigh,Topsy-Turvy
2000,writing,nominee, Robert Nelson Jacobs,Chocolat
2000,writing,nominee," Wang Hui Ling, James Schamus, Tsai Kuo Jung","Crouching Tiger, Hidden Dragon"
2000,writing,nominee," Ethan Coen , Joel Coen","O Brother, Where Art Thou?"
2000,writing,winner, Stephen Gaghan,Traffic
2000,writing,nominee, Steve Kloves,Wonder Boys
2000,writing,winner, Cameron Crowe,Almost Famous
2000,writing,nominee, Lee Hall,Billy Elliot
2000,writing,nominee, Susannah Grant,Erin Brockovich
2000,writing,nominee," David Franzoni, John Logan, William Nicholson,   David Franzoni",Gladiator
2000,writing,nominee, Kenneth Lonergan,You Can Count on Me
2001,writing,winner, Akiva Goldsman,A Beautiful Mind
2001,writing,nominee," Daniel Clowes , Terry Zwigoff",Ghost World
2001,writing,nominee," Rob Festinger, Todd Field",In the Bedroom
2001,writing,nominee," Fran Walsh, Philippa Boyens, Peter Jackson",The Lord of the Rings: The Fellowship of the Ring
2001,writing,nominee," Ted Elliott , Terry Rossio, Joe Stillman, Roger S.H. Schulman",Shrek
2001,writing,nominee," Guillaume Laurant, Jean-Pierre Jeunet, Dialogue Guillaume Laurant",Amélie
2001,writing,winner, Julian Fellowes,Gosford Park
2001,writing,nominee," Christopher Nolan,  Jonathan Nolan",Memento
2001,writing,nominee," Milo Addica , Will Rokos",Monster's Ball
2001,writing,nominee," Wes Anderson , Owen Wilson",The Royal Tenenbaums
2002,writing,nominee," Peter Hedges, Chris Weitz , Paul Weitz",About a Boy
2002,writing,nominee," Charlie Kaufman, Donald Kaufman",Adaptation
2002,writing,nominee, Bill Condon,Chicago
2002,writing,nominee, David Hare,The Hours
2002,writing,winner, Ronald Harwood,The Pianist
2002,writing,nominee, Todd Haynes,Far from Heaven
2002,writing,nominee," Jay Cocks, Steve Zaillian, Kenneth Lonergan,  Jay Cocks",Gangs of New York
2002,writing,nominee, Nia Vardalos,My Big Fat Greek Wedding
2002,writing,winner, Pedro Almodóvar,Talk to Her
2002,writing,nominee," Carlos Cuarón, Alfonso Cuarón",Y Tu Mamá También
2003,writing,nominee," Robert Pulcini , Shari Springer Berman",American Splendor
2003,writing,nominee, Braulio Mantovani,City of God
2003,writing,winner," Fran Walsh, Philippa Boyens , Peter Jackson",The Lord of the Rings: The Return of the King
2003,writing,nominee, Brian Helgeland,Mystic River
2003,writing,nominee, for the Screen Gary Ross,Seabiscuit
2003,writing,nominee, Denys Arcand,The Barbarian Invasions
2003,writing,nominee, Steven Knight,Dirty Pretty Things
2003,writing,nominee," Andrew Stanton, Bob Peterson, David Reynolds,   Andrew Stanton",Finding Nemo
2003,writing,nominee," Jim Sheridan , Naomi Sheridan , Kirsten Sheridan",In America
2003,writing,winner, Sofia Coppola,Lost in Translation
2004,writing,nominee," Richard Linklater , Julie Delpy , Ethan Hawke,  Richard Linklater , Kim Krizan",Before Sunset
2004,writing,nominee, David Magee,Finding Neverland
2004,writing,nominee, Paul Haggis,Million Dollar Baby
2004,writing,nominee, José Rivera,The Motorcycle Diaries
2004,writing,winner," Alexander Payne , Jim Taylor",Sideways
2004,writing,nominee, John Logan,The Aviator
2004,writing,winner," Charlie Kaufman,  Charlie Kaufman , Michel Gondry , Pierre Bismuth",Eternal Sunshine of the Spotless Mind
2004,writing,nominee," Keir Pearson , Terry George",Hotel Rwanda
2004,writing,nominee, Brad Bird,The Incredibles
2004,writing,nominee, Mike Leigh,Vera Drake
2005,writing,winner," Larry McMurtry , Diana Ossana",Brokeback Mountain
2005,writing,nominee, Dan Futterman,Capote
2005,writing,nominee, Jeffrey Caine,The Constant Gardener
2005,writing,nominee, Josh Olson,A History of Violence
2005,writing,nominee," Tony Kushner, Eric Roth",Munich
2005,writing,winner," Paul Haggis , Bobby Moresco,  Paul Haggis",Crash
2005,writing,nominee," George Clooney , Grant Heslov","Good Night, and Good Luck."
2005,writing,nominee, Woody Allen,Match Point
2005,writing,nominee, Noah Baumbach,The Squid and the Whale
2005,writing,nominee, Stephen Gaghan,Syriana
2006,writing,nominee," Sacha Baron Cohen , Anthony Hines , Peter Baynham , Dan Mazer,  Sacha Baron Cohen , Peter Baynham , Anthony Hines , Todd Phillips",Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
2006,writing,nominee," Alfonso Cuarón , Timothy J. Sexton, David Arata, Mark Fergus , Hawk Ostby",Children of Men
2006,writing,winner, William Monahan,The Departed
2006,writing,nominee," Todd Field , Tom Perrotta",Little Children
2006,writing,nominee, Patrick Marber,Notes on a Scandal
2006,writing,nominee, Guillermo Arriaga,Babel
2006,writing,nominee," Iris Yamashita,  Iris Yamashita , Paul Haggis",Letters from Iwo Jima
2006,writing,winner, Michael Arndt,Little Miss Sunshine
2006,writing,nominee, Guillermo del Toro,Pan's Labyrinth
2006,writing,nominee, Peter Morgan,The Queen
2007,writing,nominee, Christopher Hampton,Atonement
2007,writing,nominee, Sarah Polley,Away from Her
2007,writing,nominee, Ronald Harwood,The Diving Bell and the Butterfly
2007,writing,winner," for the screen Joel Coen , Ethan Coen",No Country for Old Men
2007,writing,nominee, for the Screen Paul Thomas Anderson,There Will Be Blood
2007,writing,winner, Diablo Cody,Juno
2007,writing,nominee, Nancy Oliver,Lars and the Real Girl
2007,writing,nominee, Tony Gilroy,Michael Clayton
2007,writing,nominee," Brad Bird,  Jan Pinkava, Jim Capobianco, Brad Bird",Ratatouille
2007,writing,nominee, Tamara Jenkins,The Savages
2008,writing,nominee," Eric Roth, Screen story Eric Roth, Robin Swicord",The Curious Case of Benjamin Button
2008,writing,nominee, John Patrick Shanley,Doubt
2008,writing,nominee, Peter Morgan,Frost/Nixon
2008,writing,nominee, David Hare,The Reader
2008,writing,winner, Simon Beaufoy,Slumdog Millionaire
2008,writing,nominee, Courtney Hunt,Frozen River
2008,writing,nominee, Mike Leigh,Happy-Go-Lucky
2008,writing,nominee, Martin McDonagh,In Bruges
2008,writing,winner, Dustin Lance Black,Milk
2008,writing,nominee," Andrew Stanton, Jim Reardon,  story Andrew Stanton, Pete Docter",WALL-E
2009,writing,nominee," Neill Blomkamp, Terri Tatchell",District 9
2009,writing,nominee, Nick Hornby,An Education
2009,writing,nominee," Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",In the Loop
2009,writing,winner, Geoffrey Fletcher,Precious: Based on the Novel 'Push' by Sapphire
2009,writing,nominee," Jason Reitman, Sheldon Turner",Up in the Air
2009,writing,winner, Mark Boal,The Hurt Locker
2009,writing,nominee, Quentin Tarantino,Inglourious Basterds
2009,writing,nominee," Alessandro Camon , Oren Moverman",The Messenger
2009,writing,nominee," Joel Coen , Ethan Coen",A Serious Man
2009,writing,nominee," Bob Peterson, Pete Docter,  Pete Docter, Bob Peterson, Tom McCarthy",Up
2010,writing,nominee," Danny Boyle , Simon Beaufoy",127 Hours
2010,writing,winner, Aaron Sorkin,The Social Network
2010,writing,nominee," Michael Arndt,  John Lasseter, Andrew Stanton, Lee Unkrich",Toy Story 3
2010,writing,nominee," for the screen Joel Coen , Ethan Coen",True Grit
2010,writing,nominee," Debra Granik , Anne Rosellini",Winter's Bone
2010,writing,nominee, Mike Leigh,Another Year
2010,writing,nominee," Scott Silver, Paul Tamasy , Eric Johnson,  Keith Dorrington , Paul Tamasy , Eric Johnson",The Fighter
2010,writing,nominee, Christopher Nolan,Inception
2010,writing,nominee," Lisa Cholodenko , Stuart Blumberg",The Kids Are All Right
2010,writing,winner, David Seidler,The King's Speech
2011,writing,winner," Alexander Payne, Nat Faxon , Jim Rash",The Descendants
2011,writing,nominee, John Logan,Hugo
2011,writing,nominee," George Clooney , Grant Heslov, Beau Willimon",The Ides of March
2011,writing,nominee," Steven Zaillian, Aaron Sorkin,  Stan Chervin",Moneyball
2011,writing,nominee," Bridget OConnor , Peter Straughan",Tinker Tailor Soldier Spy
2011,writing,nominee, Michel Hazanavicius,The Artist
2011,writing,nominee," Annie Mumolo , Kristen Wiig",Bridesmaids
2011,writing,nominee, J.C. Chandor,Margin Call
2011,writing,winner, Woody Allen,Midnight in Paris
2011,writing,nominee, Asghar Farhadi,A Separation
2012,writing,winner, Chris Terrio,Argo
2012,writing,nominee," Lucy Alibar , Benh Zeitlin",Beasts of the Southern Wild
2012,writing,nominee, David Magee,Life of Pi
2012,writing,nominee, Tony Kushner,Lincoln
2012,writing,nominee, David O. Russell,Silver Linings Playbook
2012,writing,nominee, Michael Haneke,Amour
2012,writing,winner, Quentin Tarantino,Django Unchained
2012,writing,nominee, John Gatins,Flight
2012,writing,nominee," Wes Anderson , Roman Coppola",Moonrise Kingdom
2012,writing,nominee, Mark Boal,Zero Dark Thirty
2013,writing,nominee," Richard Linklater, Julie Delpy, Ethan Hawke",Before Midnight
2013,writing,nominee, Billy Ray,Captain Phillips
2013,writing,nominee," Steve Coogan, Jeff Pope",Philomena
2013,writing,winner, John Ridley,12 Years a Slave
2013,writing,nominee, Terence Winter,The Wolf of Wall Street
2013,writing,nominee," Eric Warren Singer, David O. Russell",American Hustle
2013,writing,nominee, Woody Allen,Blue Jasmine
2013,writing,nominee," Craig Borten , Melisa Wallack",Dallas Buyers Club
2013,writing,winner, Spike Jonze,Her
2013,writing,nominee, Bob Nelson,Nebraska
